country_iso,year,life_expectancy
ABW,2013,75.441
ABW,2014,75.583
ABW,2015,75.725
ABW,2016,75.868
ABW,2017,76.01
AFG,2013,62.525
AFG,2014,62.966
AFG,2015,63.377
AFG,2016,63.763
AFG,2017,64.13
AGO,2013,58.054
AGO,2014,58.776
AGO,2015,59.398
AGO,2016,59.925
AGO,2017,60.379
ALB,2013,77.554
ALB,2014,77.813
ALB,2015,78.025
ALB,2016,78.194
ALB,2017,78.333
ARE,2013,76.903
ARE,2014,77.095
ARE,2015,77.285
ARE,2016,77.47
ARE,2017,77.647
ARG,2013,75.756
ARG,2014,75.913
ARG,2015,76.068
ARG,2016,76.221
ARG,2017,76.372
ARM,2013,74.056
ARM,2014,74.273
ARM,2015,74.467
ARM,2016,74.64
ARM,2017,74.797
ATG,2013,76.218
ATG,2014,76.349
ATG,2015,76.483
ATG,2016,76.617
ATG,2017,76.752
AUS,2013,82.14878
AUS,2014,82.3
AUS,2015,82.4
AUS,2016,82.44878
AUS,2017,82.49756
AUT,2013,81.13659
AUT,2014,81.49024
AUT,2015,81.19024
AUT,2016,81.64146
AUT,2017,81.64146
AZE,2013,71.768
AZE,2014,72.022
AZE,2015,72.266
AZE,2016,72.493
AZE,2017,72.693
BDI,2013,59.148
BDI,2014,59.665
BDI,2015,60.123
BDI,2016,60.528
BDI,2017,60.898
BEL,2013,80.5878
BEL,2014,81.2878
BEL,2015,80.99268
BEL,2016,81.43902
BEL,2017,81.43902
BEN,2013,60.092
BEN,2014,60.345
BEN,2015,60.608
BEN,2016,60.885
BEN,2017,61.174
BFA,2013,58.937
BFA,2014,59.45
BFA,2015,59.919
BFA,2016,60.354
BFA,2017,60.768
BGD,2013,70.93
BGD,2014,71.231
BGD,2015,71.514
BGD,2016,71.785
BGD,2017,72.052
BGR,2013,74.86098
BGR,2014,74.46585
BGR,2015,74.61463
BGR,2016,74.8122
BGR,2017,74.8122
BHR,2013,76.484
BHR,2014,76.624
BHR,2015,76.762
BHR,2016,76.899
BHR,2017,77.032
BHS,2013,72.62
BHS,2014,72.847
BHS,2015,73.088
BHS,2016,73.329
BHS,2017,73.554
BIH,2013,76.569
BIH,2014,76.723
BIH,2015,76.865
BIH,2016,76.998
BIH,2017,77.128
BLR,2013,72.47073
BLR,2014,72.97073
BLR,2015,73.62439
BLR,2016,73.82683
BLR,2017,74.12927
BLZ,2013,73.452
BLZ,2014,73.782
BLZ,2015,74.034
BLZ,2016,74.219
BLZ,2017,74.365
BMU,2013,80.57244
BMU,2014,80.79732
BMU,2015,81.0122
BMU,2016,81.22707
BMU,2017,81.44195
BOL,2013,69.468
BOL,2014,69.891
BOL,2015,70.277
BOL,2016,70.626
BOL,2017,70.945
BRA,2013,74.483
BRA,2014,74.745
BRA,2015,74.994
BRA,2016,75.23
BRA,2017,75.456
BRB,2013,78.633
BRB,2014,78.717
BRB,2015,78.801
BRB,2016,78.888
BRB,2017,78.981
BRN,2013,75.075
BRN,2014,75.193
BRN,2015,75.318
BRN,2016,75.45
BRN,2017,75.585
BTN,2013,69.662
BTN,2014,70.046
BTN,2015,70.419
BTN,2016,70.781
BTN,2017,71.129
BWA,2013,64.976
BWA,2014,66.265
BWA,2015,67.338
BWA,2016,68.178
BWA,2017,68.812
CAF,2013,49.371
CAF,2014,50.129
CAF,2015,50.881
CAF,2016,51.593
CAF,2017,52.24
CAN,2013,81.74878
CAN,2014,81.8
CAN,2015,81.9
CAN,2016,82.14224
CAN,2017,82.24898
CHE,2013,82.79756
CHE,2014,83.19756
CHE,2015,82.89756
CHE,2016,83.60244
CHE,2017,83.60244
CHL,2013,79.349
CHL,2014,79.504
CHL,2015,79.646
CHL,2016,79.779
CHL,2017,79.909
CHN,2013,75.321
CHN,2014,75.629
CHN,2015,75.928
CHN,2016,76.21
CHN,2017,76.47
CIV,2013,54.906
CIV,2014,55.508
CIV,2015,56.065
CIV,2016,56.567
CIV,2017,57.017
CMR,2013,56.576
CMR,2014,57.083
CMR,2015,57.583
CMR,2016,58.063
CMR,2017,58.511
COD,2013,58.381
COD,2014,58.828
COD,2015,59.254
COD,2016,59.655
COD,2017,60.026
COG,2013,62.022
COG,2014,62.582
COG,2015,63.097
COG,2016,63.556
COG,2017,63.954
COL,2013,76.105
COL,2014,76.322
COL,2015,76.531
COL,2016,76.732
COL,2017,76.925
COM,2013,62.922
COM,2014,63.214
COM,2015,63.471
COM,2016,63.7
COM,2017,63.912
CPV,2013,71.661
CPV,2014,71.886
CPV,2015,72.117
CPV,2016,72.347
CPV,2017,72.57
CRI,2013,79.234
CRI,2014,79.398
CRI,2015,79.565
